sample_name, sample_latitude, sample_longitude, nuclide, concentration, AMS_uncertainty, standardisation
20,34.375776,-117.090225,Be10,215100,9400,NIST SRM 4325
15,34.396673,-117.075616,Be10,110600,7200,NIST SRM 4325
19,34.402745,-117.062615,Be10,84200,6500,NIST SRM 4325
17,34.284158,-117.056033,Be10,127700,5800,NIST SRM 4325
14,34.393989,-117.05448,Be10,101100,6100,NIST SRM 4325
18,34.279446,-117.043854,Be10,180600,10000,NIST SRM 4325
11,34.170293,-117.043797,Be10,7700,1300,NIST SRM 4325
16,34.276754,-117.032489,Be10,97300,5500,NIST SRM 4325
10,34.212077,-117.015431,Be10,74400,5200,NIST SRM 4325
MHC-12,34.125368,-116.992145,Be10,47000,7000,NIST_30000
MHC-11,34.126216,-116.991346,Be10,52500,8500,NIST_30000
MHC-10,34.123685,-116.990498,Be10,56000,4000,NIST_30000
MHC-15,34.112872,-116.989661,Be10,52000,6000,NIST_30000
MHC-14,34.114543,-116.987147,Be10,43000,5000,NIST_30000
MHC-13,34.113696,-116.9855,Be10,29000,5000,NIST_30000
7,34.186471,-116.980561,Be10,10300,1300,NIST SRM 4325
8,34.183102,-116.979751,Be10,20800,1900,NIST SRM 4325
MHC-8,34.119522,-116.977177,Be10,52000,7000,NIST_30000
1,34.084046,-116.966816,Be10,5600,1100,NIST SRM 4325
KC,34.160188,-116.962734,Be10,22100,1500,NIST SRM 4325
MHC-2m,34.130374,-116.962182,Be10,121000,11000,NIST_30000
MHCW,34.132046,-116.961335,Be10,17000,2000,NIST_30000
9,34.185789,-116.951371,Be10,26800,2000,NIST SRM 4325
4,34.053039,-116.940113,Be10,10800,1100,NIST SRM 4325
12,34.196563,-116.935146,Be10,62000,3000,NIST SRM 4325
13,34.193864,-116.928661,Be10,50300,2700,NIST SRM 4325
3,34.049663,-116.927972,Be10,10800,1200,NIST SRM 4325
SGB9,34.30254,-118.255308,Be10,15330,560,07KNSTD
SGB6,34.328323,-118.250991,Be10,29390,12460,07KNSTD
SGB10,34.282076,-118.195807,Be10,22560,760,07KNSTD
SG0730,34.308129,-118.163278,Be10,11550,2640,07KNSTD
SGB1,34.305851,-118.156667,Be10,73210,14600,07KNSTD
SGB7,34.298912,-118.148114,Be10,29160,4740,07KNSTD
SGB3,34.311617,-118.123847,Be10,96740,13990,07KNSTD
SGB5,34.330368,-118.120337,Be10,56530,10860,07KNSTD
SGB2,34.306286,-118.109678,Be10,69030,17250,07KNSTD
SG0703,34.309465,-118.10314,Be10,12540,830,07KNSTD
SG127,34.219928,-118.08507,Be10,10260,870,07KNSTD
SG126,34.219157,-118.084121,Be10,12940,900,07KNSTD
SG125,34.209026,-118.083053,Be10,16140,1320,07KNSTD
SG124,34.34192,-118.049026,Be10,52550,3060,07KNSTD
SG123,34.353634,-118.047291,Be10,93680,3950,07KNSTD
SGB4,34.278931,-118.026632,Be10,244330,243440,07KNSTD
SG116,34.279758,-118.021004,Be10,27150,2540,07KNSTD
SG128,34.337565,-118.01042,Be10,250690,20680,07KNSTD
SG131,34.366575,-117.991957,Be10,102880,12700,07KNSTD
SG130,34.378296,-117.989273,Be10,138470,9040,07KNSTD
SG132,34.365818,-117.989126,Be10,94480,4540,07KNSTD
SG0743,34.305045,-117.980893,Be10,42700,2890,07KNSTD
SG141,34.253615,-117.97466,Be10,30450,2380,07KNSTD
SG0740,34.321543,-117.966044,Be10,78640,4280,07KNSTD
SG140,34.244455,-117.949195,Be10,32490,1990,07KNSTD
SG0729,34.360226,-117.905352,Be10,155050,7650,07KNSTD
SG0728,34.361814,-117.901607,Be10,110910,6080,07KNSTD
SG137,34.272984,-117.889383,Be10,15050,1400,07KNSTD
SG207,34.241584,-117.805461,Be10,23040,2330,07KNSTD
SG152,34.32351,-117.801543,Be10,199290,9520,07KNSTD
SG151,34.320403,-117.799633,Be10,34820,10270,07KNSTD
SG206,34.232316,-117.791286,Be10,18560,5210,07KNSTD
SG161,34.302697,-117.762809,Be10,12030,1690,07KNSTD
SGB12,34.241866,-117.76132,Be10,11070,630,07KNSTD
SGB13,34.297365,-117.742084,Be10,28220,1840,07KNSTD
SGB11,34.296596,-117.740197,Be10,14820,670,07KNSTD
SG158,34.306001,-117.73276,Be10,11680,1390,07KNSTD
SG157,34.306012,-117.73088,Be10,11680,1570,07KNSTD
SG162,34.164573,-117.636759,Be10,33690,4630,07KNSTD
